Time [EST],timestamp,temperature_temperature,humidity_humidity,pressure_pressure,accelerometer_Ax,accelerometer_Ay,accelerometer_Az,gyroscope_x,gyroscope_y,gyroscope_z,led_R,led_G,led_B,quaternion_x,quaternion_y,quaternion_z,quaternion_w,bsec_bsec,co2_co2,gas_gas
4:24 PM,2026-02-17T21:24:57.009Z,24.96999931,31,986.5127563,1494,3752,1967,701,706,243,,,,0.3745718,-0.428465694,-0.48510617,0.663816631,25,500,37009
4:24 PM,2026-02-17T21:24:56.989Z,24.95999908,31,986.5517578,1795,3297,1803,1929,1505,-1006,,,,0.28698656,-0.492430389,-0.519041657,0.636839211,25,500,36978
4:24 PM,2026-02-17T21:24:56.969Z,24.93000031,31,986.5517578,2755,2345,2399,307,1857,63,,,,0.229186431,-0.511168122,-0.536985934,0.630613625,25,500,36978
4:24 PM,2026-02-17T21:24:56.949Z,24.89999962,31,986.5751953,1447,3334,1754,649,2114,458,,,,0.148986429,-0.557371616,-0.595701575,0.55871439,25,500,36885
4:24 PM,2026-02-17T21:24:56.929Z,24.88999939,31,986.5751953,796,3160,2114,-154,876,955,,,,0.058898773,-0.567015171,-0.687437177,0.449766904,25,500,36763
4:24 PM,2026-02-17T21:24:56.909Z,24.93000031,31,986.5517578,416,3399,1746,-1163,403,1404,,,,0.070007145,-0.588743627,-0.694822431,0.406859308,25,500,37227
4:24 PM,2026-02-17T21:24:56.889Z,24.90999985,31,986.6141968,-101,3467,1117,-2569,733,1429,,,,0.104247779,-0.63067466,-0.68121165,0.356688529,25,500,36763
4:24 PM,2026-02-17T21:24:56.869Z,24.88999939,31,986.5127563,-1973,2559,-2275,-2935,222,2678,,,,0.316832691,-0.779477954,-0.520933747,0.14337121,25,500,36281
4:24 PM,2026-02-17T21:24:56.849Z,25,31,986.5361938,-2400,1810,-2877,-2998,149,2884,,,,0.37658596,-0.794736743,-0.470030546,0.074157521,25,500,37133
4:24 PM,2026-02-17T21:24:56.829Z,24.98999977,31,986.5361938,-2893,873,-2986,-2410,569,3185,,,,-0.451658994,0.794004321,0.405821711,0.028991625,25,500,36885
4:24 PM,2026-02-17T21:24:56.809Z,25.01000023,31,986.5127563,-4331,192,-4587,-1717,1072,2307,,,,-0.549437046,0.757444322,0.280028582,0.214232847,25,500,36520
4:24 PM,2026-02-17T21:24:56.789Z,25.01999855,31,986.5517578,-4406,-480,-4108,172,942,1243,,,,-0.612669349,0.681577861,0.260375321,0.303527057,25,500,36947
4:24 PM,2026-02-17T21:24:56.769Z,25.01999855,31,986.5361938,-3236,-569,-2507,1659,-757,399,,,,-0.730588973,0.548521519,0.325560689,0.243468612,25,500,36430
4:24 PM,2026-02-17T21:24:56.749Z,25.04999924,31,986.5361938,-2625,-257,-3125,5196,-1074,-563,,,,-0.781736255,0.504454255,0.358031303,0.078368939,25,500,36550
4:24 PM,2026-02-17T21:24:56.729Z,25.02999878,31,986.5751953,-330,2062,3125,6342,212,-1015,,,,0.5003649,-0.247008651,-0.574949682,0.598265052,25,500,36611
4:24 PM,2026-02-17T21:24:56.709Z,25,31,986.4971924,2497,2999,3577,-669,1616,41,,,,0.322203755,-0.277465105,-0.571714818,0.701536298,25,500,35609
4:24 PM,2026-02-17T21:24:56.689Z,25.06999969,31,986.5361938,331,2753,3805,690,1787,926,,,,0.230040908,-0.35314852,-0.670408428,0.610533118,25,500,36192
4:24 PM,2026-02-17T21:24:56.669Z,25.09000015,31,986.5517578,476,3068,3629,-1018,2144,821,,,,0.202147916,-0.386961907,-0.69470036,0.571531713,25,500,36793
4:24 PM,2026-02-17T21:24:56.649Z,25.09000015,31,986.6531982,-77,3999,876,-7,1307,811,,,,0.177489772,-0.491331756,-0.711301863,0.470152617,25,500,36671
4:24 PM,2026-02-17T21:24:56.629Z,25.05999947,31,986.6141968,-1910,4004,-2126,-1343,-848,1422,,,,0.282714128,-0.711668074,-0.612730384,0.195067853,25,500,36732
4:24 PM,2026-02-17T21:24:56.609Z,25.1099987,31,986.5985718,-1813,4102,-2069,-980,-1129,1034,,,,0.330870748,-0.717832625,-0.585386693,0.180236354,25,500,36581
4:24 PM,2026-02-17T21:24:56.589Z,25.09000015,31,986.5751953,-686,3830,-1687,-1433,-1636,643,,,,0.411681086,-0.714719832,-0.533140719,0.187987804,25,500,36611
4:24 PM,2026-02-17T21:24:56.569Z,25.10000038,30,986.4971924,-937,2623,-2230,-514,-1827,1154,,,,0.580381811,-0.663145244,-0.410765558,0.233519912,25,500,36671
4:24 PM,2026-02-17T21:24:56.549Z,25.09000015,30,986.5127563,-923,2731,-2912,810,-1986,1183,,,,0.626097023,-0.631956398,-0.38024804,0.252990067,25,500,36430
4:24 PM,2026-02-17T21:24:56.529Z,25.10000038,31,986.5127563,-1883,2886,-1940,2553,-2008,920,,,,0.658262491,-0.568174839,-0.380614251,0.31445232,25,500,36671
