timestamp,temperature_temperature,humidity_humidity,pressure_pressure,accelerometer_Ax,accelerometer_Ay,accelerometer_Az,gyroscope_x,gyroscope_y,gyroscope_z,led_R,led_G,led_B,quaternion_x,quaternion_y,quaternion_z,quaternion_w,bsec_bsec,co2_co2,gas_gas
2026-03-06T22:28:52.744Z,51.5,14,985.8186035,-1705,-1238,3318,780,-256,347,,,,-0.089843519,0.2694084942340851,-0.122680351,0.9509252905845642,25,500,22722
2026-03-06T22:28:52.704Z,51.5,14,985.8029785,-2082,-1571,3056,580,-53,330,,,,-0.101440169,0.2766716480255127,-0.127013832,0.9470800757408142,25,500,22840
2026-03-06T22:28:52.664Z,51.57999801635742,14,985.8341674804688,-2134,-1079,3403,81,-201,23,,,,-0.094299078,0.2808220386505127,-0.122802421,0.9471411108970642,25,500,22583
2026-03-06T22:28:52.624Z,51.69999694824219,14,985.8029785,-1494,-1104,4125,-394,151,-316,,,,-0.083007596,0.2733147144317627,-0.116027534,0.9512304663658142,25,500,22491
2026-03-06T22:28:52.584Z,51.80999755859375,14,985.8341674804688,-2172,-470,3608,6,414,-322,,,,-0.056335304,0.2853996455669403,-0.060363613,0.9547705054283142,25,500,22287
2026-03-06T22:28:52.544Z,51.98999786376953,14,985.8029785,-2580,-482,3272,27,-642,-751,,,,-0.053161483,0.3032829165458679,-0.03356925,0.9508032202720642,25,500,22021
2026-03-06T22:28:52.504Z,52.04999923706055,14,985.8186035,-2335,-166,3535,-120,-395,-662,,,,0.002746575,0.32653725147247314,-0.021423286,0.9448828101158142,25,500,21912
2026-03-06T22:28:52.464Z,52.04999923706055,14,985.8029785,-2678,434,3127,-148,-12,-268,,,,0.00903318,0.32617104053497314,-0.01489254,0.9451269507408142,25,500,21591
2026-03-06T22:28:52.424Z,52.11000061035156,14,985.8341674804688,-2508,226,3175,108,137,-80,,,,0.002624505,0.32141029834747314,-0.01025388,0.9468359351158142,25,500,21570
2026-03-06T22:28:52.384Z,52.11000061035156,14,985.8029785,-2485,-270,3258,296,230,190,,,,-0.00695799,0.31481853127479553,-0.01208493,0.9489721655845642,25,500,21549
2026-03-06T22:28:52.344Z,52.18000030517578,14,985.8029785,-2255,238,3354,-154,181,120,,,,-0.00305175,0.3025504946708679,-0.020324655,0.9528784155845642,25,500,21507
