Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","LIR2032","BAT_504",219.167767,-85.297767,-90.000000,bottom
"C1","4.7 μF","C_0201_0603Metric",212.967767,-74.867767,90.000000,top
"C2","4.7 μF","C_0201_0603Metric",219.867767,-74.867767,-90.000000,top
"C4","1 uF","C_0201_0603Metric",210.567767,-84.712767,90.000000,top
"D1","RED","D_0201_0603Metric",215.412767,-78.667767,180.000000,top
"D2","1N4148WT","D_SOD-523",222.967767,-71.767767,0.000000,top
"R1","2.2 kΩ","R_0201_0603Metric",215.422767,-77.767767,180.000000,top
"R2","470 Ω","R_0201_0603Metric",216.967767,-78.222767,90.000000,top
"R3","10 kΩ","R_0201_0603Metric",212.067767,-83.567767,180.000000,top
"R4","10 kΩ","R_0201_0603Metric",214.167767,-83.567767,0.000000,top
"U1","MCP73831-2-OT","SOT-23-5",216.467767,-75.367767,180.000000,top
"U2","~","Arduino_Nicla_Sense",207.624267,-74.161767,0.000000,top
"U3","W25Q128JVS","SOIC-8_5.3x5.3mm_P1.27mm",215.472767,-88.680267,90.000000,top
