"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BT1","1","LIR2032","","","","footprints:BAT_504",""
"C1,C2","2","4.7 μF","","","","Capacitor_SMD:C_0504_1310Metric_Pad0.83x1.28mm_HandSolder","~"
"C4","1","1 uF","","","","Capacitor_SMD:C_0504_1310Metric_Pad0.83x1.28mm_HandSolder","~"
"D1","1","RED","","","","Diode_SMD:D_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~"
"D2","1","1N4148WT","","","","Diode_SMD:D_SOD-523","https://www.diodes.com/assets/Datasheets/ds30396.pdf"
"R1","1","2.2 kΩ","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~"
"R2","1","470 Ω","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~"
"R3,R4","2","10 kΩ","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~"
"U1","1","MCP73831-2-OT","","","","Package_TO_SOT_SMD:SOT-23-5","http://ww1.microchip.com/downloads/en/DeviceDoc/20001984g.pdf"
"U2","1","~","","","","footprints:Arduino_Nicla_Sense",""
"U3","1","W25Q128JVS","","","","Package_SO:SOIC-8_5.3x5.3mm_P1.27mm","https://www.winbond.com/resource-files/w25q128jv_dtr%20revc%2003272018%20plus.pdf"
